,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,Year,Home_rank,Away_rank
36041,2014-06-06,Japan,Zambia,4,3,Friendly,Tampa,United States,True,2014,[48],[75]
36042,2014-06-06,Mexico,Portugal,0,1,Friendly,Foxborough,United States,True,2014,[21],[5]
36043,2014-06-06,Poland,Lithuania,2,1,Friendly,Gdańsk,Poland,False,2014,[77 70],[103]
36044,2014-06-06,Russia,Morocco,2,0,Friendly,Moscow,Russia,False,2014,[22],[74]
36045,2014-06-06,County of Nice,South Ossetia,3,0,CONIFA World Football Cup,Östersund,Sweden,True,2014,[],[]
36046,2014-06-06,Arameans Suryoye,Ellan Vannin,1,4,CONIFA World Football Cup,Östersund,Sweden,True,2014,[],[]
36047,2014-06-07,Argentina,Slovenia,2,0,Friendly,La Plata,Argentina,False,2014,[3],[29]
36048,2014-06-07,Belgium,Tunisia,1,0,Friendly,Brussels,Belgium,False,2014,[11],[44]
36049,2014-06-07,Cameroon,Moldova,1,0,Friendly,Yaoundé,Cameroon,False,2014,[50],[96]
36050,2014-06-07,El Salvador,Spain,0,2,Friendly,Landover,United States,True,2014,[88],[1]
36051,2014-06-07,Estonia,Tajikistan,2,1,Friendly,Tallinn,Estonia,False,2014,[93],[113]
36052,2014-06-07,Honduras,England,0,0,Friendly,Miami Gardens,United States,True,2014,[43],[13]
36053,2014-06-07,Hungary,Kazakhstan,3,0,Friendly,Budapest,Hungary,False,2014,[46],[128]
36054,2014-06-07,United States,Nigeria,2,1,Friendly,Jacksonville,United States,False,2014,[],[41]
36055,2014-06-07,Sápmi,Artsakh,1,5,CONIFA World Football Cup,Östersund,Sweden,False,2014,[],[]
36056,2014-06-07,Tamil Eelam,Darfur,10,0,CONIFA World Football Cup,Östersund,Sweden,True,2014,[],[]
36057,2014-06-07,Abkhazia,Occitania,0,1,CONIFA World Football Cup,Östersund,Sweden,True,2014,[],[]
36058,2014-06-07,Padania,Iraqi Kurdistan,1,1,CONIFA World Football Cup,Östersund,Sweden,True,2014,[],[]
36059,2014-06-08,France,Jamaica,8,0,Friendly,Villeneuve-d'Ascq,France,False,2014,[20],[]
36060,2014-06-08,Iran,Trinidad and Tobago,2,0,Friendly,São Paulo,Brazil,True,2014,[],[78]
36061,2014-06-08,San Marino,Albania,0,3,Friendly,Serravalle,San Marino,False,2014,[],[56]
36062,2014-06-08,South Ossetia,Arameans Suryoye,1,4,CONIFA World Football Cup,Östersund,Sweden,True,2014,[],[]
36063,2014-06-08,County of Nice,Ellan Vannin,0,0,CONIFA World Football Cup,Östersund,Sweden,True,2014,[],[]
36064,2014-06-09,Ghana,South Korea,4,0,Friendly,Miami Gardens,United States,True,2014,[24],[]
36065,2014-06-10,Republic of Ireland,Portugal,1,5,Friendly,East Rutherford,United States,True,2014,[67],[5]
36066,2014-06-12,Brazil,Croatia,3,1,FIFA World Cup,São Paulo,Brazil,False,2014,[10],[16]
36067,2014-06-13,Chile,Australia,3,1,FIFA World Cup,Cuiabá,Brazil,True,2014,[15],[]
36068,2014-06-13,Mexico,Cameroon,1,0,FIFA World Cup,Natal,Brazil,True,2014,[21],[50]
36069,2014-06-13,Spain,Netherlands,1,5,FIFA World Cup,Salvador,Brazil,True,2014,[1],[9]
36070,2014-06-14,Colombia,Greece,3,0,FIFA World Cup,Belo Horizonte,Brazil,True,2014,[4],[12]
36071,2014-06-14,England,Italy,1,2,FIFA World Cup,Manaus,Brazil,True,2014,[13],[7]
36072,2014-06-14,Ivory Coast,Japan,2,1,FIFA World Cup,Recife,Brazil,True,2014,[],[48]
36073,2014-06-14,Uruguay,Costa Rica,1,3,FIFA World Cup,Fortaleza,Brazil,True,2014,[6],[32]
36074,2014-06-15,Argentina,Bosnia and Herzegovina,2,1,FIFA World Cup,Rio de Janeiro,Brazil,True,2014,[3],[19]
36075,2014-06-15,France,Honduras,3,0,FIFA World Cup,Porto Alegre,Brazil,True,2014,[20],[43]
36076,2014-06-15,Switzerland,Ecuador,2,1,FIFA World Cup,Brasília,Brazil,True,2014,[8],[23]
36077,2014-06-16,Germany,Portugal,4,0,FIFA World Cup,Salvador,Brazil,True,2014,[2],[5]
36078,2014-06-16,Ghana,United States,1,2,FIFA World Cup,Natal,Brazil,True,2014,[24],[]
36079,2014-06-16,Iran,Nigeria,0,0,FIFA World Cup,Curitiba,Brazil,True,2014,[],[41]
36080,2014-06-17,Belgium,Algeria,2,1,FIFA World Cup,Belo Horizonte,Brazil,True,2014,[11],[27]
36081,2014-06-17,Brazil,Mexico,0,0,FIFA World Cup,Fortaleza,Brazil,False,2014,[10],[21]
36082,2014-06-17,Russia,South Korea,1,1,FIFA World Cup,Cuiabá,Brazil,True,2014,[22],[]
36083,2014-06-18,Australia,Netherlands,2,3,FIFA World Cup,Curitiba,Brazil,True,2014,[],[9]
36084,2014-06-18,Cameroon,Croatia,0,4,FIFA World Cup,Manaus,Brazil,True,2014,[50],[16]
36085,2014-06-18,China PR,North Macedonia,2,0,Friendly,Shenyang,China PR,False,2014,[92],[]
36086,2014-06-18,Spain,Chile,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,2014,[1],[15]
36087,2014-06-19,Colombia,Ivory Coast,2,1,FIFA World Cup,Brasília,Brazil,True,2014,[4],[]
36088,2014-06-19,Japan,Greece,0,0,FIFA World Cup,Natal,Brazil,True,2014,[48],[12]
36089,2014-06-19,Uruguay,England,2,1,FIFA World Cup,São Paulo,Brazil,True,2014,[6],[13]
36090,2014-06-20,Honduras,Ecuador,1,2,FIFA World Cup,Curitiba,Brazil,True,2014,[43],[23]
36091,2014-06-20,Italy,Costa Rica,0,1,FIFA World Cup,Recife,Brazil,True,2014,[7],[32]
36092,2014-06-20,Switzerland,France,2,5,FIFA World Cup,Salvador,Brazil,True,2014,[8],[20]
36093,2014-06-21,Argentina,Iran,1,0,FIFA World Cup,Belo Horizonte,Brazil,True,2014,[3],[]
36094,2014-06-21,Germany,Ghana,2,2,FIFA World Cup,Fortaleza,Brazil,True,2014,[2],[24]
36095,2014-06-21,Indonesia,Pakistan,4,0,Friendly,Surabaya,Indonesia,False,2014,[161 158],[165]
36096,2014-06-21,Nigeria,Bosnia and Herzegovina,1,0,FIFA World Cup,Cuiabá,Brazil,True,2014,[41],[19]
36097,2014-06-22,Belgium,Russia,1,0,FIFA World Cup,Rio de Janeiro,Brazil,True,2014,[11],[22]
36098,2014-06-22,China PR,North Macedonia,0,0,Friendly,Jinan,China PR,False,2014,[92],[]
36099,2014-06-22,South Korea,Algeria,2,4,FIFA World Cup,Porto Alegre,Brazil,True,2014,[],[27]
